Temperature,Humidity,Label
31,55,0
28,70,0
27,69,0
26,55,0
31,72,0
27,62,0
26,56,0
31,61,0
26,70,0
26,69,0
29,69,0
29,73,0
29,57,0
27,71,0
31,72,0
25,70,0
25,65,0
30,65,0
26,59,0
27,66,0
28,56,0
31,66,0
29,66,0
25,64,0
28,64,0
29,63,0
30,69,0
25,69,0
25,68,0
32,62,0
26,62,0
27,74,0
26,56,0
27,70,0
31,63,0
32,59,0
28,60,0
29,69,0
25,56,0
27,58,0
29,70,0
29,73,0
26,56,0
27,71,0
30,74,0
32,57,0
27,62,0
31,65,0
30,63,0
30,69,0
26,57,0
30,59,0
32,67,0
27,72,0
28,68,0
32,74,0
26,55,0
29,71,0
31,59,0
26,68,0
31,60,0
30,59,0
31,65,0
26,56,0
27,60,0
25,71,0
32,62,0
27,67,0
32,72,0
27,74,0
26,74,0
30,58,0
28,73,0
31,61,0
25,70,0
32,57,0
26,69,0
26,55,0
31,60,0
31,62,0
32,65,0
29,73,0
26,57,0
30,67,0
26,62,0
32,73,0
32,65,0
32,55,0
32,55,0
31,71,0
28,73,0
27,60,0
27,66,0
29,71,0
30,72,0
26,73,0
30,66,0
27,60,0
32,61,0
29,69,0
25,62,0
32,62,0
28,69,0
32,59,0
27,57,0
27,67,0
28,69,0
26,60,0
28,56,0
29,74,0
32,66,0
26,55,0
25,59,0
31,55,0
26,58,0
28,57,0
29,63,0
25,72,0
25,64,0
25,69,0
26,56,0
27,55,0
26,64,0
32,59,0
31,58,0
25,62,0
31,70,0
26,56,0
29,73,0
30,66,0
29,71,0
27,64,0
27,74,0
27,61,0
26,65,0
28,63,0
32,62,0
27,56,0
30,68,0
28,55,0
31,72,0
32,68,0
26,70,0
26,58,0
28,67,0
26,55,0
28,74,0
25,64,0
27,65,0
29,58,0
32,62,0
29,67,0
27,62,0
27,60,0
28,72,0
27,68,0
31,67,0
25,58,0
29,60,0
25,66,0
32,65,0
25,74,0
31,56,0
31,68,0
29,64,0
31,57,0
29,68,0
27,61,0
31,63,0
32,60,0
30,56,0
32,71,0
29,64,0
27,69,0
31,74,0
28,69,0
31,69,0
25,68,0
29,70,0
32,60,0
29,61,0
25,68,0
32,65,0
28,60,0
25,59,0
27,57,0
31,74,0
31,61,0
25,58,0
32,58,0
30,71,0
26,60,0
31,55,0
32,64,0
25,70,0
31,68,0
32,74,0
31,62,0
30,65,0
27,56,0
25,58,0
32,72,0
32,74,0
29,57,0
29,73,0
27,74,0
29,57,0
30,62,0
31,68,0
26,73,0
32,65,0
29,62,0
29,69,0
25,64,0
29,67,0
27,60,0
30,61,0
25,70,0
32,63,0
28,72,0
31,61,0
32,58,0
31,55,0
30,58,0
30,61,0
25,57,0
30,56,0
25,63,0
32,61,0
31,68,0
32,66,0
26,68,0
28,62,0
27,66,0
27,62,0
30,63,0
32,71,0
28,64,0
32,57,0
29,67,0
25,67,0
28,67,0
31,72,0
25,67,0
30,57,0
30,59,0
28,62,0
26,59,0
32,66,0
26,72,0
28,65,0
32,63,0
28,70,0
25,65,0
29,71,0
27,59,0
28,66,0
29,67,0
26,69,0
31,74,0
32,56,0
25,55,0
26,70,0
25,60,0
26,68,0
30,56,0
27,63,0
30,66,0
31,66,0
29,61,0
29,71,0
28,57,0
31,58,0
26,66,0
28,63,0
26,58,0
31,71,0
29,68,0
26,57,0
26,69,0
32,72,0
27,74,0
31,57,0
31,63,0
30,71,0
32,56,0
29,57,0
27,67,0
25,58,0
26,64,0
31,60,0
32,59,0
30,72,0
25,71,0
32,74,0
28,63,0
30,70,0
25,72,0
32,63,0
30,62,0
27,59,0
26,55,0
26,66,0
25,58,0
31,60,0
26,71,0
32,72,0
30,64,0
31,58,0
27,66,0
25,65,0
25,60,0
31,57,0
27,68,0
31,69,0
27,58,0
30,55,0
26,69,0
29,69,0
30,67,0
27,72,0
31,69,0
26,74,0
27,59,0
30,73,0
32,57,0
30,66,0
25,63,0
26,64,0
27,63,0
29,69,0
27,58,0
29,58,0
26,57,0
26,68,0
27,61,0
25,67,0
27,71,0
31,66,0
32,59,0
31,63,0
25,69,0
27,66,0
32,69,0
27,62,0
27,64,0
29,64,0
26,69,0
29,60,0
32,58,0
30,56,0
25,68,0
27,57,0
27,55,0
28,62,0
27,71,0
30,63,0
30,55,0
31,63,0
26,74,0
26,61,0
26,72,0
25,70,0
27,71,0
31,74,0
28,66,0
31,71,0
28,56,0
28,74,0
32,55,0
28,66,0
32,62,0
27,55,0
29,74,0
29,65,0
28,68,0
32,61,0
28,66,0
31,57,0
25,69,0
30,57,0
31,65,0
26,66,0
30,68,0
28,64,0
25,74,0
28,72,0
31,74,0
26,66,0
31,71,0
28,60,0
27,56,0
31,57,0
32,57,0
29,58,0
25,60,0
29,57,0
27,59,0
32,69,0
27,62,0
27,69,0
26,60,0
30,62,0
29,61,0
27,67,0
31,72,0
30,58,0
27,69,0
32,65,0
32,74,0
27,68,0
30,65,0
32,62,0
30,69,0
31,58,0
28,64,0
28,62,0
26,61,0
28,69,0
32,67,0
29,73,0
32,59,0
25,73,0
29,62,0
32,73,0
29,56,0
26,71,0
30,64,0
26,70,0
32,70,0
31,63,0
26,69,0
29,61,0
31,62,0
32,60,0
26,73,0
30,66,0
25,59,0
25,57,0
27,56,0
29,64,0
25,67,0
26,72,0
26,61,0
26,74,0
25,74,0
26,64,0
25,65,0
26,57,0
30,61,0
32,56,0
32,67,0
30,73,0
29,61,0
32,72,0
28,71,0
31,65,0
32,69,0
25,72,0
32,68,0
27,65,0
27,74,0
29,67,0
25,59,0
30,59,0
28,72,0
32,74,0
26,73,0
31,65,0
29,57,0
30,71,0
25,59,0
29,56,0
25,55,0
28,60,0
27,62,0
30,65,0
29,61,0
26,60,0
29,55,0
31,69,0
27,61,0
31,68,0
30,72,0
28,61,0
28,71,0
32,55,0
26,67,0
26,60,0
26,71,0
29,74,0
29,60,0
28,69,0
27,69,0
25,67,0
27,61,0
26,65,0
25,62,0
25,56,0
27,64,0
40,56,1
38,59,1
40,69,1
39,61,1
40,59,1
36,69,1
35,67,1
34,73,1
36,69,1
38,55,1
34,55,1
35,61,1
38,66,1
34,62,1
35,72,1
40,61,1
36,73,1
36,62,1
36,59,1
37,62,1
37,71,1
37,58,1
35,68,1
37,66,1
35,69,1
39,61,1
35,72,1
38,71,1
38,58,1
36,55,1
36,58,1
34,68,1
36,63,1
35,65,1
37,71,1
40,57,1
37,55,1
38,58,1
40,58,1
38,62,1
40,63,1
40,73,1
34,70,1
38,66,1
37,72,1
38,67,1
40,70,1
37,57,1
35,55,1
39,62,1
40,63,1
35,67,1
39,67,1
34,74,1
34,71,1
36,66,1
35,73,1
37,72,1
36,74,1
37,70,1
37,58,1
37,62,1
36,72,1
36,71,1
38,65,1
34,57,1
39,68,1
38,73,1
36,64,1
36,60,1
34,57,1
39,59,1
39,57,1
38,55,1
36,58,1
37,58,1
37,67,1
37,73,1
36,72,1
39,71,1
39,69,1
39,55,1
40,63,1
37,73,1
39,56,1
39,56,1
37,71,1
36,73,1
34,62,1
34,58,1
35,65,1
37,61,1
35,60,1
34,64,1
35,58,1
34,61,1
36,56,1
40,62,1
39,70,1
39,68,1
34,66,1
38,57,1
38,62,1
36,62,1
39,65,1
40,74,1
36,73,1
38,74,1
34,65,1
40,65,1
38,68,1
40,56,1
35,55,1
40,60,1
39,64,1
38,69,1
35,61,1
37,64,1
37,66,1
40,73,1
36,64,1
34,62,1
34,63,1
35,73,1
35,57,1
35,73,1
36,74,1
37,60,1
34,68,1
38,72,1
39,62,1
35,64,1
37,60,1
36,66,1
39,60,1
36,74,1
34,63,1
37,57,1
35,74,1
38,72,1
34,56,1
39,62,1
35,66,1
40,69,1
35,67,1
35,58,1
36,61,1
38,66,1
39,55,1
38,58,1
37,57,1
37,60,1
36,67,1
34,60,1
39,58,1
35,73,1
40,64,1
35,58,1
34,55,1
36,73,1
40,66,1
39,72,1
38,72,1
35,59,1
37,68,1
39,66,1
37,66,1
40,73,1
38,74,1
37,73,1
34,61,1
35,68,1
35,68,1
35,72,1
36,64,1
34,73,1
38,63,1
38,57,1
39,60,1
35,72,1
34,57,1
35,74,1
37,73,1
39,68,1
37,64,1
40,73,1
39,73,1
34,58,1
38,66,1
37,66,1
34,62,1
39,71,1
36,55,1
34,65,1
39,71,1
34,55,1
36,69,1
39,71,1
37,67,1
35,63,1
36,60,1
40,68,1
38,59,1
38,58,1
37,60,1
40,70,1
37,73,1
38,60,1
35,59,1
34,62,1
39,62,1
34,57,1
40,61,1
40,68,1
35,67,1
40,71,1
34,60,1
36,73,1
35,61,1
34,72,1
35,57,1
38,69,1
40,60,1
39,67,1
36,58,1
39,55,1
36,61,1
40,68,1
39,74,1
40,59,1
38,65,1
36,62,1
38,67,1
35,70,1
38,70,1
37,60,1
36,61,1
40,63,1
37,66,1
37,70,1
35,58,1
40,61,1
40,63,1
40,55,1
34,73,1
34,60,1
37,63,1
38,65,1
35,58,1
35,61,1
37,73,1
38,63,1
37,62,1
34,70,1
36,72,1
35,59,1
34,67,1
35,68,1
35,60,1
38,57,1
39,64,1
34,57,1
39,60,1
36,72,1
37,60,1
39,74,1
38,56,1
40,57,1
34,63,1
40,69,1
39,66,1
36,73,1
38,67,1
40,74,1
36,60,1
39,62,1
34,70,1
38,65,1
36,65,1
34,65,1
35,60,1
39,70,1
34,62,1
40,56,1
37,61,1
39,65,1
36,63,1
37,67,1
39,62,1
37,68,1
38,74,1
39,72,1
37,61,1
37,68,1
34,60,1
40,56,1
38,71,1
34,73,1
36,73,1
37,64,1
38,65,1
35,64,1
38,60,1
40,70,1
40,61,1
39,61,1
34,72,1
36,58,1
39,62,1
34,68,1
39,74,1
39,65,1
36,73,1
39,56,1
39,62,1
38,68,1
35,55,1
35,69,1
37,74,1
35,66,1
39,71,1
38,73,1
38,56,1
37,72,1
36,56,1
35,73,1
37,69,1
38,56,1
38,73,1
40,55,1
35,57,1
37,56,1
36,66,1
34,64,1
38,55,1
36,56,1
34,57,1
35,59,1
37,63,1
36,66,1
39,56,1
35,62,1
38,71,1
37,57,1
35,63,1
34,64,1
37,70,1
34,71,1
35,60,1
37,55,1
40,73,1
37,55,1
38,61,1
35,69,1
36,56,1
34,74,1
39,71,1
37,73,1
39,67,1
36,66,1
40,66,1
36,70,1
35,57,1
36,64,1
35,73,1
36,63,1
36,74,1
39,71,1
35,73,1
34,61,1
38,56,1
34,59,1
40,73,1
40,65,1
36,69,1
34,74,1
39,72,1
35,73,1
36,66,1
35,62,1
37,57,1
39,74,1
38,71,1
38,74,1
38,65,1
40,68,1
